Date,PortfolioValue,Positions
2014-03-04,7067901.0867044,4
2014-03-05,7070351.426704401,4
2014-03-06,7114816.7867044,4
2014-03-07,7084642.3567044,4
2014-03-10,7040988.8767044,4
2014-03-11,7025798.5167044,4
2014-03-12,7060874.4567044,4
2014-03-13,7036522.2067044005,4
2014-03-14,7051518.5867044,4
2014-03-18,7091034.8167044,4
2014-03-19,7105642.016704401,4
2014-03-20,7107041.7067044005,4
2014-03-21,7109361.426704399,4
2014-03-22,7130219.3267044,4
2014-03-24,7157068.4167043995,4
2014-03-25,7171813.9167044,4
2014-03-26,7135434.5667044,4
2014-03-27,7165591.726704401,4
2014-03-28,7220644.426704399,4
2014-03-31,7253586.4367044,4
2014-04-01,7266794.3667044,4
2014-04-02,7286895.2067044,4
2014-04-03,7321721.9267044,4
2014-04-04,7300319.6167044,4
2014-04-07,7281168.526704399,4
2014-04-09,7334397.0667044,4
2014-04-10,7312805.736704401,4
2014-04-11,7328813.446704401,4
2014-04-15,7321486.4067044,4
2014-04-16,7266153.9167043995,4
2014-04-17,7342240.636704401,4
2014-04-21,7369585.766704399,4
2014-04-22,7383568.546704399,4
2014-04-23,7391748.4567044,4
2014-04-25,7340631.2367044,4
2014-04-28,7341188.1867044,4
2014-04-29,7317362.9167043995,4
2014-04-30,7290504.816704399,4
2014-05-02,7315211.2767044,4
2014-05-05,7305917.5067044,4
2014-05-06,7302972.6067044,4
2014-05-07,7255446.8867044,4
2014-05-08,7264305.4167043995,4
2014-05-09,7327211.756704399,4
2014-05-12,7401534.106704399,4
2014-05-13,7480591.1267043995,4
2014-05-14,7514072.2267044,4
2014-05-15,7462484.8767044,4
2014-05-16,7444284.6267043995,4
2014-05-19,7384895.3167044,4
2014-05-20,7455517.3467044,4
2014-05-21,7502951.0867044,4
2014-05-22,7565556.3367044,4
2014-05-23,7622503.1967044,4
2014-05-26,7543759.816704402,4
2014-05-27,7550082.1267043995,4
2014-05-28,7600699.5567044,4
2014-05-29,7557658.116704401,4
2014-05-30,7619611.6467044,4
2014-06-02,7673431.6867044,4
2014-06-03,7714671.2767044,4
2014-06-04,7736827.6267043995,4
2014-06-05,7803487.6267044,4
2014-06-06,7897143.346704401,4
2014-06-09,8013052.856704401,4
2014-06-10,8067775.1667043995,4
2014-06-11,8079642.2167044,4
2014-06-12,8133940.226704401,4
2014-06-13,8055826.2167044,4
2014-06-16,8074476.2867044,4
2014-06-17,8138554.256704399,4
2014-06-18,8105541.1667043995,4
2014-06-19,8132403.426704399,4
2014-06-20,8122088.8867044,4
2014-06-23,8123874.006704401,4
2014-06-24,8203184.5767044,4
2014-06-25,8247709.586704399,4
2014-06-26,8241418.9667044,4
2014-06-27,8319323.7667044,4
2014-06-30,8416239.0967044,4
2014-07-01,8443203.1167044,4
2014-07-02,8545455.476704402,4
2014-07-03,8541073.8967044,4
2014-07-04,8579820.456704399,4
2014-07-07,8630946.0167044,4
2014-07-08,8441216.0267044,4
2014-07-09,8352113.946704401,4
2014-07-10,8312978.5167044,4
2014-07-11,8264882.836704399,4
2014-07-14,8245926.856704401,4
2014-07-15,8320752.9767044,4
2014-07-16,8385562.576704401,4
2014-07-17,8468688.546704398,4
2014-07-18,8472178.106704399,4
2014-07-21,8511691.4567044,4
2014-07-22,8567390.4167044,4
2014-07-23,8590265.936704399,4
2014-07-24,8579723.6067044,4
2014-07-25,8593062.786704399,4
2014-07-28,8564125.666704401,4
2014-07-30,8624201.4567044,4
2014-07-31,8615106.2467044,4
2014-08-01,8518861.7367044,4
2014-08-04,8594718.766704401,4
2014-08-05,8658683.0267044,4
2014-08-06,8636157.8567044,4
2014-08-07,8599018.1767044,4
2014-08-08,8523967.166704401,4
2014-08-11,8556726.8367044,4
2014-08-12,8603888.5867044,4
2014-08-13,8612414.2467044,4
2014-08-14,8657608.8667044,4
2014-08-18,8759993.8167044,4
2014-08-19,8818800.116704399,4
2014-08-20,8850466.6667044,4
2014-08-21,8886906.6667044,4
2014-08-22,8900626.5867044,4
2014-08-25,8922217.1067044,4
2014-08-26,8970184.9267044,4
2014-08-27,9042492.6367044,4
2014-08-28,9028919.266704401,4
2014-09-01,9127237.7567044,4
2014-09-02,9218436.9367044,4
2014-09-03,9285555.406704402,4
2014-09-04,9313004.766704401,4
2014-09-05,9347872.1167044,4
2014-09-08,9458433.796704398,4
2014-09-09,9469712.736704402,4
2014-09-10,9436638.6267044,4
2014-09-11,9493164.0067044,4
2014-09-12,9578539.9867044,4
2014-09-15,9595721.9067044,4
2014-09-16,9409658.0767044,4
2014-09-17,9448184.496704398,4
2014-09-18,9590523.7567044,4
2014-09-19,9628353.2367044,4
2014-09-22,9612256.3167044,4
2014-09-23,9469061.9667044,4
2014-09-24,9442202.836704401,4
2014-09-25,9361621.196704399,4
2014-09-26,9423256.346704401,4
2014-09-29,9531282.246704401,4
2014-09-30,9577264.9067044,4
2014-10-01,9590582.5367044,4
2014-10-07,9480554.8367044,4
2014-10-08,9367859.296704398,4
2014-10-09,9486478.206704399,4
2014-10-10,9406266.1067044,4
2014-10-13,9431750.176704401,4
2014-10-14,9422966.5367044,4
2014-10-16,9230255.846704401,4
2014-10-17,9217300.2167044,4
2014-10-20,9314469.9267044,4
2014-10-21,9391754.866704399,4
2014-10-22,9511312.356704399,4
2014-10-23,9560620.8167044,4
2014-10-27,9512682.2167044,4
2014-10-28,9536050.536704399,4
2014-10-29,9601423.5867044,4
2014-10-30,9696267.3667044,4
2014-10-31,9840600.3167044,4
2014-11-03,9869179.3967044,4
2014-11-05,9885038.116704399,4
2014-11-07,9949506.376704399,4
2014-11-10,10013615.606704399,4
2014-11-11,10039416.7367044,4
2014-11-12,10088563.126704399,4
2014-11-13,10113974.856704399,4
2014-11-14,10140607.6867044,4
2014-11-17,10203957.9767044,4
2014-11-18,10221885.1967044,4
2014-11-19,10202612.2767044,4
2014-11-20,10215023.6267044,4
2014-11-21,10184267.8067044,4
2014-11-24,10197617.5667044,4
2014-11-25,10145440.7367044,4
2014-11-26,10162413.9967044,4
2014-11-27,10223977.876704399,4
2014-11-28,10267569.4467044,4
2014-12-01,10324201.3867044,4
2014-12-02,10320172.1867044,4
2014-12-03,10402060.3267044,4
2014-12-04,10417082.7967044,4
2014-12-05,10348968.7767044,4
2014-12-08,10244745.0167044,4
2014-12-09,10141014.6367044,4
2014-12-10,10170699.4267044,4
2014-12-11,10103833.9967044,4
2014-12-12,10039916.7967044,4
2014-12-15,10001374.6567044,4
2014-12-16,9792838.2167044,4
2014-12-17,9701416.0667044,4
2014-12-18,9917927.506704401,4
2014-12-19,9981043.936704399,4
2014-12-22,10068891.3067044,4
2014-12-23,10038161.9467044,4
2014-12-24,9947588.3367044,4
2014-12-26,9984381.8067044,4
2014-12-29,10079651.0067044,4
2014-12-30,10106845.536704399,4
2014-12-31,10197753.3667044,4
2015-01-01,10213315.9867044,4
2015-01-02,10324976.6167044,4
2015-01-05,10311846.076704402,4
2015-01-06,10045674.9567044,4
2015-01-07,10063269.7467044,4
2015-01-08,10220749.4967044,4
2015-01-09,10303129.416704401,4
2015-01-12,10371200.6467044,4
2015-01-13,10391048.0467044,4
2015-01-14,10426023.196704399,4
2015-01-15,10542604.616704399,4
2015-01-16,10610166.016704401,4
2015-01-19,10627036.686704399,4
2015-01-20,10672362.526704399,4
2015-01-21,10732749.8867044,4
2015-01-22,10776173.006704401,4
2015-01-23,10789282.1367044,4
2015-01-27,10802065.3567044,4
2015-01-28,10894945.3967044,4
2015-01-29,10887289.7167044,4
2015-01-30,10819712.806704402,4
2015-02-02,10817733.3067044,4
2015-02-03,10797922.0567044,4
2015-02-04,10767820.606704399,4
2015-02-05,10734498.8667044,4
2015-02-06,10646889.4067044,4
2015-02-09,10527768.566704398,4
2015-02-10,10583244.5667044,4
2015-02-11,10727288.4767044,4
2015-02-12,10836086.9767044,4
2015-02-13,10945718.9467044,4
2015-02-16,10933121.666704401,4
2015-02-18,10990480.196704399,4
2015-02-19,10976777.336704401,4
2015-02-20,10951340.796704398,4
2015-02-23,10864882.3967044,4
2015-02-24,10865193.2467044,4
2015-02-25,10866049.8067044,4
2015-02-26,10748011.6267044,4
2015-02-27,10907998.4967044,4
2015-02-28,10983776.226704398,4
2015-03-02,11143295.6267044,4
2015-03-03,11268802.346704401,4
2015-03-04,11186490.5467044,4
2015-03-05,11285964.6967044,4
2015-03-09,11195492.7167044,4
2015-03-10,11177259.6067044,4
2015-03-11,11147006.5967044,4
2015-03-12,11268296.006704401,4
2015-03-13,11097599.2067044,4
2015-03-16,11108228.126704399,4
2015-03-17,11217690.016704401,4
2015-03-18,11186334.4367044,4
2015-03-19,11166969.8267044,4
2015-03-20,11043739.4167044,4
2015-03-23,11001795.096704401,4
2015-03-24,10999041.546704398,4
2015-03-25,10987010.446704399,4
2015-03-26,10823158.296704398,4
2015-03-27,10796264.096704401,4
2015-03-30,10966806.176704401,4
2015-03-31,11005942.8067044,4
2015-04-01,11140481.2567044,4
2015-04-06,11284378.4767044,4
2015-04-07,11315662.0967044,4
2015-04-08,11436782.3167044,4
2015-04-09,11456718.336704401,4
2015-04-10,11469928.126704399,4
2015-04-13,11504832.276704399,4
2015-04-15,11373455.8667044,4
2015-04-16,11279432.0967044,4
2015-04-17,11055073.7067044,4
2015-04-20,10848935.5767044,4
2015-04-21,10744216.076704402,4
2015-04-22,10754947.786704399,4
2015-04-23,10733273.5467044,4
2015-04-24,10539311.106704399,4
2015-04-27,10319524.276704399,4
2015-04-28,10427504.3567044,4
2015-04-29,10480111.296704398,4
2015-04-30,10441343.8067044,4
2015-05-04,10661918.6067044,4
2015-05-05,10689825.176704401,4
2015-05-06,10400438.0767044,4
2015-05-07,10303055.8667044,4
2015-05-08,10458869.3967044,4
